administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
Afghanistan,Khost,
Afghanistan,Badakhshan,
Afghanistan,Nangarhar,
Afghanistan,Faryab,
Afghanistan,Kabul,
Afghanistan,Kunar,
Afghanistan,Kunduz,
Afghanistan,Uruzgan,
Afghanistan,Takhar,
Afghanistan,Jawzjan,
Afghanistan,Zabul,
Afghanistan,Badghis,
Afghanistan,Nuristan,
Afghanistan,Ghor,
Afghanistan,Samangan,
Afghanistan,Paktya,
Afghanistan,Wardak,
Afghanistan,Laghman,
Afghanistan,,
Afghanistan,Paktika,
Afghanistan,Sari Pul,
Afghanistan,Daykundi,
Afghanistan,Logar,
Afghanistan,Ghazni,
Afghanistan,Bamyan,
Afghanistan,Nimroz,
Afghanistan,Kapisa,
Afghanistan,Hilmand,
Afghanistan,Hirat,
Afghanistan,Panjshir,
Afghanistan,Kandahar,
Afghanistan,Baghlan,
Afghanistan,Balkh,
Afghanistan,Parwan,
Afghanistan,Farah,
Albania,,
Algeria,,
American Samoa,,
Andorra,,
Angola,,
Anguilla,,
Antigua and Barbuda,,
Argentina,Santa Fe,San Javier
Argentina,Buenos Aires,Coronel Dorrego
Argentina,Córdoba,Río Seco
Argentina,Chaco,General Donovan
Argentina,San Juan,Ullúm
Argentina,La Rioja,General Angel V. Peñaloza
Argentina,Neuquén,Los Lagos
Argentina,La Pampa,Chalileo
Argentina,Tucumán,Monteros
Argentina,Mendoza,La Paz
Argentina,Formosa,Pilagás
Argentina,Chubut,Cushamen
Argentina,La Pampa,Caleu Caleu
Argentina,Santa Fe,San Martín
Argentina,Buenos Aires,General Viamonte
Argentina,Santiago del Estero,Banda
Argentina,La Rioja,Arauco
Argentina,Chaco,Almirante Brown
Argentina,Jujuy,San Pedro
Argentina,Buenos Aires,Lezama
Argentina,Jujuy,Susques
Argentina,Santiago del Estero,Salavina
Argentina,Buenos Aires,Necochea
Argentina,Catamarca,Tinogasta
Argentina,Corrientes,San Cosme
Argentina,Santa Fe,"9 de Julio"
Argentina,Santa Cruz,Lago Argentino
Argentina,Buenos Aires,Leandro N. Alem
Argentina,Buenos Aires,Tres Arroyos
Argentina,Entre Ríos,Colón
Argentina,Buenos Aires,Exaltación de la Cruz
Argentina,Córdoba,Santa María
Argentina,Tucumán,Chicligasta
Argentina,Neuquén,Catán Lil
Argentina,Neuquén,Confluencia
Argentina,Tucumán,Graneros
Argentina,Mendoza,Capital
Argentina,Formosa,Bermejo
Argentina,Buenos Aires,Tandil
Argentina,Santa Fe,La Capital
Argentina,Santa Fe,Rosario
Argentina,Buenos Aires,Lobería
Argentina,Jujuy,Tilcara
Argentina,Entre Ríos,
Argentina,Jujuy,Santa Catalina
Argentina,Buenos Aires,Berazategui
Argentina,Formosa,
Argentina,Buenos Aires,Olavarría
Argentina,Salta,Rosario de Lerma
Argentina,Santiago del Estero,Atamisqui
Argentina,Buenos Aires,Rauch
Argentina,Buenos Aires,Guaminí
Argentina,Corrientes,Lavalle
Argentina,Santiago del Estero,
Argentina,Buenos Aires,La Matanza
Argentina,Jujuy,Tumbaya
Argentina,Formosa,Pirané
Argentina,Mendoza,Lavalle
Argentina,Salta,Metán
Argentina,Entre Ríos,Gualeguay
Argentina,Misiones,General Manuel Belgrano
Argentina,Santiago del Estero,Figueroa
Argentina,Jujuy,
Argentina,La Rioja,Chilecito
Argentina,Buenos Aires,Pergamino
Argentina,Santa Fe,
Argentina,Misiones,Cainguás
Argentina,San Luis,General Pedernera
Argentina,Catamarca,Belén
Argentina,Catamarca,
Argentina,Corrientes,Bella Vista
Argentina,Salta,Guachipas
Argentina,Salta,La Candelaria
Argentina,Buenos Aires,Escobar
Argentina,Buenos Aires,San Isidro
Argentina,Ciudad de Buenos Aires,COMUNA 14
Argentina,Santiago del Estero,Loreto
Argentina,San Juan,Rawson
Argentina,Ciudad de Buenos Aires,COMUNA 10
Argentina,Córdoba,Pocho
Argentina,Chaco,Quitilipi
Argentina,Chubut,Florentino Ameghino
Argentina,La Pampa,Catriló
Argentina,Buenos Aires,Bahía Blanca
Argentina,Córdoba,
Argentina,Río Negro,Bariloche
Argentina,Buenos Aires,Coronel Suárez
Argentina,Mendoza,San Carlos
Argentina,Buenos Aires,Saladillo
Argentina,Santiago del Estero,Rivadavia
Argentina,Córdoba,Río Cuarto
Argentina,San Juan,Santa Lucía
Argentina,Tucumán,Yerba Buena
Argentina,Santa Fe,San Justo
Argentina,Corrientes,General Alvear
Argentina,Buenos Aires,Adolfo Alsina
Argentina,Río Negro,Pilcaniyeu
Argentina,Santa Cruz,Río Chico
Argentina,Santa Cruz,Deseado
Argentina,Corrientes,
Argentina,Córdoba,San Alberto
Argentina,San Juan,"25 de Mayo"
Argentina,Chaco,Maipú
Argentina,La Rioja,General San Martín
Argentina,Salta,La Viña
Argentina,Santiago del Estero,Moreno
Argentina,Ciudad de Buenos Aires,COMUNA 08
Argentina,Jujuy,Yavi
Argentina,Catamarca,La Paz
Argentina,Buenos Aires,Junín
Argentina,Corrientes,Empedrado
Argentina,Buenos Aires,Chascomús
Argentina,Santiago del Estero,Quebrachos
Argentina,Salta,Orán
Argentina,Buenos Aires,Ayacucho
Argentina,Río Negro,El Cuy
Argentina,Córdoba,Marcos Juárez
Argentina,Ciudad de Buenos Aires,COMUNA 04
Argentina,San Juan,"9 de Julio"
Argentina,San Juan,Rivadavia
Argentina,Córdoba,Presidente Roque Sáenz Peña
Argentina,Tucumán,Tafí Viejo
Argentina,Neuquén,Picunches
Argentina,Salta,La Caldera
Argentina,Entre Ríos,Federación
Argentina,Misiones,Capital
Argentina,Buenos Aires,San Cayetano
Argentina,Catamarca,Andalgalá
Argentina,San Luis,Coronel Pringles
Argentina,Mendoza,Rivadavia
Argentina,Formosa,Ramón Lista
Argentina,Mendoza,Luján de Cuyo
Argentina,Buenos Aires,José C. Paz
Argentina,Misiones,
Argentina,Santa Fe,Belgrano
Argentina,La Pampa,Conhelo
Argentina,Chubut,Futaleufú
Argentina,Buenos Aires,Bragado
Argentina,Ciudad de Buenos Aires,COMUNA 09
Argentina,Entre Ríos,Diamante
Argentina,Misiones,Candelaria
Argentina,Mendoza,
Argentina,Buenos Aires,Tres Lomas
Argentina,Buenos Aires,Pellegrini
Argentina,Catamarca,Antofagasta de la Sierra
Argentina,San Luis,Chacabuco
Argentina,San Juan,Zonda
Argentina,La Rioja,General Lamadrid
Argentina,Córdoba,San Javier
Argentina,Chaco,Libertad
Argentina,Chaco,Mayor Luis J. Fontana
Argentina,La Rioja,Vinchina
Argentina,Corrientes,Monte Caseros
Argentina,Santa Fe,Iriondo
Argentina,Buenos Aires,Carlos Casares
Argentina,Ciudad de Buenos Aires,COMUNA 01
Argentina,Neuquén,
Argentina,Buenos Aires,Tordillo
Argentina,Salta,La Poma
Argentina,Santiago del Estero,Alberdi
Argentina,Chaco,"1º de Mayo"
Argentina,Buenos Aires,General Paz
Argentina,Ciudad de Buenos Aires,COMUNA 05
Argentina,La Rioja,Sanagasta
Argentina,Buenos Aires,Monte
Argentina,Jujuy,Palpalá
Argentina,Santiago del Estero,Capital
Argentina,Misiones,Leandro N. Alem
Argentina,Entre Ríos,La Paz
Argentina,Buenos Aires,Monte Hermoso
Argentina,Mendoza,San Martín
Argentina,Jujuy,San Antonio
Argentina,Ciudad de Buenos Aires,COMUNA 11
Argentina,Buenos Aires,General Pueyrredón
Argentina,Córdoba,Punilla
Argentina,San Juan,San Martín
Argentina,Neuquén,Añelo
Argentina,Tucumán,Cruz Alta
Argentina,Ciudad de Buenos Aires,COMUNA 15
Argentina,Mendoza,Tupungato
Argentina,Chaco,"12 de Octubre"
Argentina,Santa Fe,General López
Argentina,Tucumán,La Cocha
Argentina,La Pampa,Guatraché
Argentina,Neuquén,Huiliches
Argentina,Chubut,Paso de Indios
Argentina,La Rioja,General Ocampo
Argentina,Chaco,Libertador General San Martín
Argentina,Chaco,General Güemes
Argentina,La Rioja,General Belgrano
Argentina,Buenos Aires,Patagones
Argentina,Tierra del Fuego,Río Grande
Argentina,Jujuy,Cochinoca
Argentina,Misiones,Concepción
Argentina,Entre Ríos,Federal
Argentina,Buenos Aires,Hipólito Yrigoyen
Argentina,Chubut,Escalante
Argentina,La Pampa,Capital
Argentina,Río Negro,Conesa
Argentina,Mendoza,Malargüe
Argentina,Salta,Rivadavia
Argentina,Buenos Aires,Florentino Ameghino
Argentina,Córdoba,Juárez Celman
Argentina,Chaco,O'Higgins
Argentina,San Juan,Jáchal
Argentina,La Rioja,Rosario Vera Peñaloza
Argentina,Misiones,"25 de Mayo"
Argentina,La Pampa,Utracán
Argentina,Buenos Aires,Arrecifes
Argentina,San Luis,Belgrano
Argentina,Buenos Aires,Lomas de Zamora
Argentina,Buenos Aires,Trenque Lauquen
Argentina,Buenos Aires,General Arenales
Argentina,Salta,Chicoana
Argentina,Catamarca,Capital
Argentina,San Luis,Junín
Argentina,Buenos Aires,Tapalqué
Argentina,Buenos Aires,Campana
Argentina,Chubut,Telsen
Argentina,La Pampa,Maracó
Argentina,Entre Ríos,Concordia
Argentina,Chaco,Fray Justo Santa María de Oro
Argentina,San Juan,Albardón
Argentina,Córdoba,Calamuchita
Argentina,Santa Cruz,Lago Buenos Aires
Argentina,Buenos Aires,General La Madrid
Argentina,Chaco,San Lorenzo
Argentina,Santiago del Estero,San Martín
Argentina,Buenos Aires,Berisso
Argentina,Santa Fe,Vera
Argentina,Santiago del Estero,Avellaneda
Argentina,Corrientes,Itatí
Argentina,Corrientes,Ituzaingó
Argentina,Corrientes,General Paz
Argentina,San Luis,
Argentina,Entre Ríos,Victoria
Argentina,Misiones,San Javier
Argentina,Buenos Aires,Mercedes
Argentina,Buenos Aires,General Lavalle
Argentina,Santiago del Estero,Robles
Argentina,Buenos Aires,"9 de Julio"
Argentina,Salta,Anta
Argentina,Santiago del Estero,Sarmiento
Argentina,Santa Cruz,Güer Aike
Argentina,Neuquén,Collón Curá
Argentina,Tucumán,Famaillá
Argentina,San Juan,
Argentina,Buenos Aires,San Nicolás
Argentina,Buenos Aires,Suipacha
Argentina,Santa Cruz,
Argentina,Mendoza,Santa Rosa
Argentina,Salta,Grl. José de San Martín
Argentina,Buenos Aires,General Alvarado
Argentina,La Pampa,Quemú Quemú
Argentina,Santa Fe,San Cristóbal
Argentina,Río Negro,Avellaneda
Argentina,La Pampa,Toay
Argentina,Buenos Aires,Balcarce
Argentina,Buenos Aires,Benito Juárez
Argentina,San Juan,Chimbas
Argentina,Córdoba,General San Martín
Argentina,Río Negro,"9 de Julio"
Argentina,Jujuy,Dr. Manuel Belgrano
Argentina,Buenos Aires,Rivadavia
Argentina,Río Negro,
Argentina,Entre Ríos,Villaguay
Argentina,Santiago del Estero,General Taboada
Argentina,Buenos Aires,Villarino
Argentina,San Juan,Sarmiento
Argentina,Buenos Aires,Chivilcoy
Argentina,Córdoba,Río Primero
Argentina,Neuquén,Loncopué
Argentina,Tucumán,Lules
Argentina,Tucumán,Capital
Argentina,Neuquén,Ñorquín
Argentina,Santa Fe,Garay
Argentina,Chubut,Biedma
Argentina,La Pampa,Atreucó
Argentina,Buenos Aires,La Costa
Argentina,Salta,
Argentina,Buenos Aires,General San Martín
Argentina,Salta,Rosario de la Frontera
Argentina,Santiago del Estero,Ojo de Agua
Argentina,La Rioja,Capital
Argentina,Chaco,Bermejo
Argentina,Jujuy,Santa Bárbara
Argentina,La Rioja,Famatina
Argentina,Chaco,General Belgrano
Argentina,Entre Ríos,Feliciano
Argentina,Misiones,Eldorado
Argentina,Buenos Aires,Coronel Pringles
Argentina,Buenos Aires,San Andrés de Giles
Argentina,Salta,Molinos
Argentina,Buenos Aires,Colón
Argentina,La Pampa,Chapaleufú
Argentina,Catamarca,Valle Viejo
Argentina,Chubut,Languiñeo
Argentina,Santiago del Estero,Juan F. Ibarra
Argentina,Buenos Aires,Almirante Brown
Argentina,Córdoba,Sobremonte
Argentina,Buenos Aires,General Villegas
Argentina,Córdoba,San Justo
Argentina,Buenos Aires,Ramallo
Argentina,Mendoza,General Alvear
Argentina,Formosa,Formosa
Argentina,Santa Fe,Las Colonias
Argentina,Mendoza,Las Heras
Argentina,Formosa,Pilcomayo
Argentina,Chubut,Gaiman
Argentina,Buenos Aires,Carmen de Areco
Argentina,La Pampa,Curacó
Argentina,Buenos Aires,Pilar
Argentina,Córdoba,Río Segundo
Argentina,Buenos Aires,Dolores
Argentina,San Juan,Valle Fértil
Argentina,Misiones,Guaraní
Argentina,Entre Ríos,Gualeguaychú
Argentina,Tucumán,Tafí del Valle
Argentina,Neuquén,Picún Leufú
Argentina,Buenos Aires,Coronel de Marina L. Rosales
Argentina,Salta,San Carlos
Argentina,Buenos Aires,Rojas
Argentina,Santa Fe,Castellanos
Argentina,Buenos Aires,Lanús
Argentina,Buenos Aires,Zárate
Argentina,Buenos Aires,Lincoln
Argentina,Tucumán,Río Chico
Argentina,Neuquén,Minas
Argentina,Salta,Los Andes
Argentina,Buenos Aires,Vicente López
Argentina,Santiago del Estero,Choya
Argentina,Santiago del Estero,Guasayán
Argentina,Buenos Aires,Pila
Argentina,Jujuy,Ledesma
Argentina,Misiones,Apóstoles
Argentina,Corrientes,San Roque
Argentina,Buenos Aires,Cañuelas
Argentina,Corrientes,Berón de Astrada
Argentina,Corrientes,Esquina
Argentina,Salta,Iruya
Argentina,Buenos Aires,Mar Chiquita
Argentina,Ciudad de Buenos Aires,COMUNA 07
Argentina,Ciudad de Buenos Aires,COMUNA 03
Argentina,Catamarca,Santa Rosa
Argentina,Buenos Aires,Ensenada
Argentina,Buenos Aires,La Plata
Argentina,Misiones,Oberá
Argentina,Entre Ríos,Tala
Argentina,Salta,Cafayate
Argentina,Buenos Aires,Chacabuco
Argentina,Buenos Aires,Salto
Argentina,Santiago del Estero,Río Hondo
Argentina,Buenos Aires,San Fernando
Argentina,La Rioja,Coronel Felipe Varela
Argentina,Chaco,Chacabuco
Argentina,Catamarca,Paclín
Argentina,La Pampa,Realicó
Argentina,Buenos Aires,Adolfo Gonzales Chaves
Argentina,Córdoba,Totoral
Argentina,Buenos Aires,Ituzaingó
Argentina,Santa Fe,San Jerónimo
Argentina,Río Negro,Pichi Mahuida
Argentina,Río Negro,Valcheta
Argentina,Córdoba,General Roca
Argentina,San Juan,Caucete
Argentina,Santa Cruz,Corpen Aike
Argentina,Buenos Aires,Azul
Argentina,San Juan,Calingasta
Argentina,Córdoba,Colón
Argentina,,
Argentina,La Pampa,
Argentina,Mendoza,Guaymallén
Argentina,Formosa,Matacos
Argentina,Río Negro,San Antonio
Argentina,Jujuy,Valle Grande
Argentina,San Luis,Libertador General San Martín
Argentina,Catamarca,Fray Mamerto Esquiú
Argentina,La Rioja,
